way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.40547747803491274,0.44678890156069684,0.48592687314377253,0.5145597790514026
likely_complete,0.2800943323502642,0.39249001722845767,0.42818264165353975,0.4339853528757959
best_complete,0.2663091597753728,0.4269594291945997,0.44297871827887814,0.4852919632142137
likely_refer,0.29597626799506604,0.40649415108979897,0.39712236965613285,0.4322070187106231
best_refer,0.29591222118096483,0.4617652573210095,0.4278085577711018,0.4889589768629544
