"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.638064721850947,0.31136460039267,-2.04925261589232,0.040437419463196
"metalinguistic",-0.396543006553691,0.0229156592540302,-17.3044555322557,4.35377437903519e-67
"refer",0.0204840903116538,0.0174165112001583,1.17613051639571,0.239542725089064
"best",0.153584215818023,0.0174187552400374,8.81717514837142,1.17383547734985e-18
"choices",0.633380798242293,0.0222626473603662,28.4503809448058,4.82048258367223e-178
"individual_declaration",0.657216939319567,0.022254354235088,29.5320606644854,1.11632055148072e-191
"ideology_declaration",0.781074291592482,0.0222202042806073,35.1515351402131,1.10130565509574e-270
