way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.3145531833593643,0.36249547695805334,0.4284442241583086,0.3985242774213828
likely_complete,0.2431188977343773,0.3639675784718681,0.40667602239989853,0.34176357535933327
best_complete,0.24803891220187768,0.3909261493876456,0.5079006407167346,0.41697461381974027
likely_refer,0.2276783347151901,0.40040018156537777,0.4196155935091304,0.3700264896133835
best_refer,0.2310888339857322,0.42837016177676834,0.574945167530174,0.43818686775327986
