"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.29772293055047,0.297811113303146,-4.35753695070975,1.31534297370381e-05
"metalinguistic",-0.199871292727709,0.0202698955832958,-9.86049937486709,6.17415479121446e-23
"refer",0.0915704335659971,0.0152886763135243,5.98942849519251,2.10579687700705e-09
"best",0.290852859220253,0.0152964412652215,19.0144134950882,1.29577826762375e-80
"choices",0.763312377673744,0.0197339520588481,38.6801576996585,0
"individual_declaration",1.10251046463867,0.0196908186456111,55.991093335493,0
"ideology_declaration",0.756795184760781,0.0197360240870095,38.3458786543999,0
