"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.31805487520544,0.111371723766482,-29.7926148845695,4.86938152906986e-195
"metalinguistic",0.572244329388352,0.0160806404872047,35.5859164840907,2.31362447481976e-277
"refer",-0.223637147153567,0.0121732894061922,-18.3711353350237,2.23683479954527e-75
"best",0.590860790912593,0.0121750896236205,48.5303031992702,0
"choices",1.86818460396821,0.0154629300823218,120.816985786157,0
"individual_declaration",5.04533489021287,0.0159442887327899,316.435243664208,0
"ideology_declaration",3.54748402193957,0.0154697076550214,229.318103551108,0
