"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.09155497291054,0.0731284737632499,-42.2756665607341,0
"metalinguistic",0.215857463547939,0.0111182085885668,19.4147700889432,5.78945358520778e-84
"refer",-0.152951149612246,0.00835450510123583,-18.3076253780276,7.19393158844366e-75
"best",0.0750000297840471,0.0083515343795043,8.98038927650307,2.69810449923352e-19
"choices",0.462012166598256,0.0123347005892271,37.4562935886557,4.74447717620904e-307
"individual_declaration",3.99909933830046,0.0109675714299144,364.629431762149,0
"ideology_declaration",0.602419387606116,0.0121463716468083,49.596653644664,0
