way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.4162842134568754,0.7268094992899906,0.6145003518133397,0.7989214108290356
likely_complete,0.35276298077754115,0.7079604741553382,0.7891064276729415,0.8610218445273833
best_complete,0.3837171117712581,0.7301640910631533,0.7985946218041602,0.896347683583635
likely_refer,0.33569761750370525,0.652937337061649,0.8556025684845091,0.8899479841554292
best_refer,0.41507479774249506,0.7803834522102281,0.8809127199265705,0.9248875815150751
