"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.49047844806158,0.429307872793016,-1.14248649779143,0.253251855289114
"metalinguistic",-0.981440730591518,0.0274387645511715,-35.7684008972487,3.42444137901109e-280
"refer",0.184258091847085,0.020867948542258,8.82971756777907,1.04940369292551e-18
"best",0.162428662729999,0.0208678270242107,7.78368838027794,7.04401372757063e-15
"choices",-0.0154437903521225,0.0264131955601318,-0.584699807221865,0.558749583710949
"individual_declaration",0.588262230275509,0.0263092047318672,22.3595595636903,9.74698281545173e-111
"ideology_declaration",0.341753043363411,0.0263554483669062,12.9670737756274,1.88074196031393e-38
