"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.06681643809526,0.181125303372545,-5.88993596273512,3.86345297861444e-09
"metalinguistic",-0.233765550664618,0.0132263243790015,-17.674264139155,6.61985283584842e-70
"refer",-0.0373657926065588,0.0100267744552549,-3.72660148817606,0.000194078946747205
"best",0.169175952248481,0.0100273607714387,16.8714336807697,7.30027989225755e-64
"choices",0.890193373926084,0.0127623514680889,69.751516885578,0
"individual_declaration",0.678823622002341,0.012807114429526,53.0036352636433,0
"ideology_declaration",0.76530194142734,0.0127877022171402,59.8467127582587,0
