way_of_asking,null_context,choices-pronoun,individual-declaration,ideology-declaration
direct,0.012495265035280027,0.4657124239891423,0.9790019275485551,0.5058590903950827
likely_complete,0.08484055551457083,0.47090709745626,0.9846424660552878,0.9338171276099736
best_complete,0.08157145348097193,0.587240687037747,0.9928827094691499,0.966995401216793
likely_refer,0.03422867361581572,0.3483247766710686,0.996301587816154,0.8719228386428051
best_refer,0.03929553773973092,0.5192496144265621,0.9985456611451258,0.9769383782931869
