way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.30819983821149344,0.3872746004000365,0.37705296307627667,0.38863835213718045
likely_complete,0.30075082109594364,0.3620821769371214,0.3834388664520768,0.36998949900535677
best_complete,0.2810569363455425,0.40195562383999395,0.39729832511051755,0.42017407021814157
likely_refer,0.250682207557726,0.36619343115016856,0.3296461333792694,0.33072805384547604
best_refer,0.2609088134159151,0.40127080369859003,0.372309709657886,0.38487091518558175
