"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.24897019041198,0.212625802552897,-5.87402928250561,4.253281922271e-09
"metalinguistic",-0.0524373837713571,0.0143067513203145,-3.66521948954966,0.000247126547453608
"refer",0.0614993917113241,0.0108140825223493,5.68697266589414,1.29311144202901e-08
"best",0.0185501450046269,0.0108140608123629,1.71537272875514,0.0862769120572494
"choices",1.13524165526015,0.01362426785321,83.3249659718546,0
"individual_declaration",0.225373007425924,0.0137499047082397,16.3908777702924,2.22212532635849e-60
"ideology_declaration",0.0651922856424094,0.0137670907258451,4.73537125167797,2.18654475176795e-06
