way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.35245660417979013,0.3631674078631845,0.6184491527208067,0.38430560649053175
likely_complete,0.20841904898900676,0.19945808399525022,0.29102925509335564,0.29242595576629393
best_complete,0.2234650090248988,0.21770730076902245,0.3399293774856719,0.3581154185987667
likely_refer,0.2353260622050869,0.21904352545192982,0.364827712708556,0.32124339726597084
best_refer,0.24017259765661833,0.24640809526415647,0.40421848827889756,0.39262830360738415
