"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.39456358070104,0.180118882915445,-7.7424618570153,9.75100312577494e-15
"metalinguistic",-0.217223950340394,0.00935998884733647,-23.2077146547251,3.80567008548538e-119
"refer",-0.0373324728402821,0.00729223852095937,-5.11948049052167,3.06378460611744e-07
"best",-0.191947510757774,0.00729686897713535,-26.3054621590766,1.66072877486139e-152
"choices",0.0143315025514922,0.00943203460723283,1.51944974210573,0.128649329398663
"individual_declaration",0.539183091066996,0.00911730357572754,59.1384378713057,0
"ideology_declaration",0.335752867461205,0.00922304886381934,36.4036743617736,3.72366803678108e-290
