way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.46462026463514955,0.7068700741970513,0.649049881986569,0.8198129036787051
likely_complete,0.39543344482639603,0.7210912574564213,0.7895938760794846,0.8447305558135995
best_complete,0.41276175044067626,0.7404918427921258,0.7831372527136655,0.862809527588924
likely_refer,0.3592366444693518,0.6707978517261594,0.8352684325211389,0.8562336814949406
best_refer,0.43663208705981926,0.7881670701254267,0.8600227511509745,0.8755188348779258
