"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.39319184490108,0.0949335328514561,-25.2091307783282,3.1810479451987e-140
"metalinguistic",-0.0348865610614069,0.0167433863102401,-2.08360246935655,0.0371963422148597
"refer",-0.159797486032697,0.0126519211245441,-12.6302942027276,1.43739814491223e-36
"best",0.370376826851757,0.0126523610315718,29.2733368837282,2.26650569610482e-188
"choices",0.0819077888223311,0.0162303749573815,5.04657403402008,4.4980264562093e-07
"individual_declaration",3.19801748229936,0.0158930106645104,201.221628161405,0
"ideology_declaration",0.614183811127738,0.0161471497321478,38.0366703298071,0
