way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.4009987515128947,0.4552376401975816,0.5229713489871529,0.4111785799186205
likely_complete,0.4576677001790621,0.39999122746329435,0.47937202997439654,0.4307591539337984
best_complete,0.40656634209816644,0.43587914383716886,0.46150457394744443,0.4157950559821776
likely_refer,0.4793459837757156,0.4035603225049725,0.4897892750387804,0.4622424844718248
best_refer,0.49670621634590123,0.45463969696489515,0.5017401909944803,0.4751358857568968
