way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.3306485243245902,0.40100866989865036,0.4021777115533911,0.41769714296353944
likely_complete,0.29598393907770987,0.3690993708505067,0.39376435303702984,0.3847577729754581
best_complete,0.277653603290888,0.40772573276797996,0.4078399543032161,0.43520127629415817
likely_refer,0.26113468304326604,0.37549359729008325,0.345217572520084,0.35414627650666386
best_refer,0.2689865229001574,0.41523106222684064,0.38511713614555115,0.4088912371111293
