way_of_asking,null_context,choices-all-terms,individual-declaration,ideology-declaration
direct,0.3053374396154831,0.3269139275519845,0.39671115185404593,0.37052700203018263
likely_complete,0.2568514950565739,0.2570384921522722,0.3719421169895734,0.3157314314709253
best_complete,0.25960776116094714,0.2772698694291646,0.4532627403418226,0.3637650258729685
likely_refer,0.23292344876342896,0.2824118422669201,0.36550936088214003,0.3235429695005051
best_refer,0.24324432814331282,0.3001143637808686,0.46980744787401846,0.36006594223318944
